name,oid,ocode,code,region,status,fueltech,unit_id,unit_num,station_cap_registered,craeted_by
Tamar Valley,CCS,au.nem.tas.tvccps,TVCC201,TAS1,operating,gas_ccgt,,,208.0,
Capital,CC9,au.nem.nsw.captlwf,CAPTL_WF,NSW1,operating,wind,,,140.0,
Southbank Institute Of Technology 1,CCW,au.nem.qld.sthbktec,STHBKTEC,QLD1,operating,distillate,,,1.0,
Darling Downs,CCX,au.nem.qld.ddps1,DDPS1,QLD1,operating,gas_wcmg,,,363.0,
Codrington,CCY,au.nem.vic.codrgton,CODRNGTON,VIC1,operating,wind,,,18.2,
Burrendong,C2Z,au.nem.nsw.bdonghyd,BDONGHYD,NSW1,operating,hydro,,,19.0,
Copeton,C2A,au.nem.nsw.coptnhyd,COPTNHYD,NSW1,operating,hydro,,,22.5,
Glenbawn,C2C,au.nem.nsw.glbwnhyd,GLBWNHYD,NSW1,operating,hydro,,,5.5,
Yarrawonga,C22,au.nem.vic.ywngahyd,YWNGAHYD,VIC1,operating,hydro,,,9.0,
Eastern Creek 2,C2B,au.nem.nsw.eastcrk2,EASTCRK2,NSW1,operating,bioenergy_biogas,,,8.98,
Wilga Park,C23,au.nem.nsw.wilgapk,WILGAPK,NSW1,operating,gas_wcmg,,,4.0,
Appin,C2E,au.nem.nsw.appin,APPIN,NSW1,operating,gas_wcmg,,,55.6,
Berwick,C2F,au.nem.vic.berwick,BERWICK,VIC1,operating,bioenergy_biogas,,,7.0,
Broadmeadows,C24,au.nem.vic.broadmdw,BROADMDW,VIC1,operating,bioenergy_biogas,,,5.0,
Clayton,C2G,au.nem.vic.clayton,CLAYTON,VIC1,operating,bioenergy_biogas,,,11.0,
Lucas Heights 1,C2H,au.nem.nsw.lucashgt,LUCASHGT,NSW1,operating,bioenergy_biogas,,,12.65,
Tower,C25,au.nem.nsw.tower,TOWER,NSW1,operating,gas_wcmg,,,41.2,
Glennies Creek,C2T,au.nem.nsw.glenncrk,GLENNCRK,NSW1,operating,gas_wcmg,,,12.78,
Wyangala A,C2K,au.nem.nsw.wyangala,WYANGALA,NSW1,operating,hydro,,,20.0,
Wyangala B,C26,au.nem.nsw.wyangalb,WYANGALB,NSW1,operating,hydro,,,4.0,
Jounama Small,C27,au.nem.nsw.jounama,JOUNAMA1,NSW1,operating,hydro,,,14.0,
Western Suburbs League Club Campbelltown,C2P,au.nem.nsw.westcbt,WESTCBT1,NSW1,operating,distillate,,,1.0,
West Illawarra Leagues Club,C2R,au.nem.nsw.westilla,WESTILL1,NSW1,operating,distillate,,,1.0,
Yarwun,C2S,au.nem.qld.yarwun,YARWUN_1,QLD1,operating,gas_ccgt,,,154.0,
Lake Bonney 3,C29,au.nem.sa.lkbonny3,LKBONNY3,SA1,operating,wind,,,39.0,
North Brown Hill,C2W,au.nem.sa.nbhwf,NBHWF1,SA1,operating,wind,,,132.3,
Bankstown Sports Club,C2X,au.nem.nsw.bankspt,BANKSPT1,NSW1,retired,distillate,,,,
Waterloo,C2Y,au.nem.sa.waterlwf,WATERLWF,SA1,operating,wind,,,111.0,
Nine Network Willoughby,CBZ,au.nem.nsw.ninewil,NINEWIL1,NSW1,operating,distillate,,,3.2,
St George Leagues,CBA,au.nem.nsw.stgeorge,STGEORG1,NSW1,operating,distillate,,,1.0,
Tataria,CBC,au.nem.sa.tatiara,TATIARA1,SA1,operating,distillate,,,0.5,
Pt Stanvac,CB2,au.nem.sa.stanvac,PTSTAN1,SA1,operating,distillate,,,57.6,
Pt Stanvac,CB2,au.nem.sa.stanvac,STANV1,SA1,retired,distillate,,,57.6,
Pt Stanvac,CB2,au.nem.sa.stanvac,STANV2,SA1,retired,distillate,,,57.6,
Valley Peaking Facility,CBB,au.nem.vic.vpgs,VPGS1,VIC1,operating,gas_ocgt,,,300.0,
Valley Peaking Facility,CBB,au.nem.vic.vpgs,VPGS2,VIC1,operating,gas_ocgt,,,300.0,
Valley Peaking Facility,CBB,au.nem.vic.vpgs,VPGS3,VIC1,operating,gas_ocgt,,,300.0,
Valley Peaking Facility,CBB,au.nem.vic.vpgs,VPGS4,VIC1,operating,gas_ocgt,,,300.0,
Valley Peaking Facility,CBB,au.nem.vic.vpgs,VPGS5,VIC1,operating,gas_ocgt,,,300.0,
Valley Peaking Facility,CBB,au.nem.vic.vpgs,VPGS6,VIC1,operating,gas_ocgt,,,300.0,
Gunning,CB3,au.nem.nsw.gunning,GUNNING1,NSW1,operating,wind,,,46.5,
Woodlawn,CBE,au.nem.nsw.woodlwn,WOODLWN1,NSW1,operating,wind,,,48.3,
Hepburn Community,CBF,au.nem.vic.hepwind,HEPWIND1,VIC1,operating,wind,,,4.1,
The Bluff,CB4,au.nem.sa.bluff,BLUFF1,SA1,operating,wind,,,52.5,
Mortlake,CBG,au.nem.vic.mortlk,MORTLK11,VIC1,operating,gas_ocgt,,,566.0,
Mortlake,CBG,au.nem.vic.mortlk,MORTLK12,VIC1,operating,gas_ocgt,,,566.0,
Oaklands Hill,CBH,au.nem.vic.oakland,OAKLAND1,VIC1,operating,wind,,,67.0,
Victoria Mill,CB5,au.nem.qld.vicmill,VICMILL1,QLD1,operating,bioenergy_biomass,,,24.0,
Hallam Road,CBT,au.nem.vic.halamrd,HALAMRD1,VIC1,operating,bioenergy_biogas,,,8.98,
